Codigo,Nome,Cargo,Ano,Mês,Assiduidade,Pontualidade,Cumprimento Tarefas,Comportamento,Nota Final,Classificação
1,Luís Massango,Recursos Humanos,2024,julho,9,7,8,8,8.0,Muito Bom
2,Raquel Martins,Designer,2022,maio,9,7,6,8,7.5,Bom
3,Inês Chapo,Gestor de Projetos,2024,agosto,7,7,4,8,6.5,Bom
4,Marta Cruz,Supervisor,2021,janeiro,9,7,9,8,8.25,Muito Bom
5,Gonçalo Vieira,Secretariado,2024,março,9,7,6,8,7.5,Bom
6,Luís Matos,Recursos Humanos,2021,setembro,9,7,8,8,8.0,Muito Bom
7,Tânia Gomes,Técnico de Informática,2022,outubro,6,7,7,8,7.0,Bom
8,Alexandre Fernandes,Assistente Administrativo,2021,junho,8,7,7,6,7.0,Bom
9,José Chapo,Secretariado,2024,setembro,9,6,8,8,7.75,Bom
10,Vítor Cardoso,Contabilista,2023,março,9,7,9,8,8.25,Muito Bom
11,Maria Mendes,Assistente de Direção,2022,agosto,9,7,6,8,7.5,Bom
12,João Conceiao,Designer,2023,janeiro,6,5,7,8,6.5,Bom
13,Helena Machado,Auditor,2021,abril,7,7,8,8,7.5,Bom
14,Cláudia Morais,Marketing,2023,maio,7,6,4,8,6.25,Regular
15,Luís Ferreira,Assistente Financeiro,2022,julho,9,7,9,8,8.25,Muito Bom
16,Paulo Barros,Auditor,2024,abril,6,7,8,8,7.25,Bom
17,Ricardo Mendes,Coordenador,2021,fevereiro,6,6,9,8,7.25,Bom
18,Beatriz Chicava,Coordenador,2022,junho,9,6,8,8,7.75,Bom
19,Sofia Matos,Consultor,2021,fevereiro,9,7,9,8,8.25,Muito Bom
20,Nuno Marques,Técnico de Informática,2024,janeiro,9,7,6,8,7.5,Bom
21,André Baptista,Coordenador,2023,março,6,7,8,8,7.25,Bom
22,Raquel Costa,Recursos Humanos,2023,julho,5,6,7,8,6.5,Bom
23,Pedro Mendes,Assistente Financeiro,2022,abril,5,7,6,8,6.5,Bom
24,Bruno Monteiro,Técnico de Informática,2021,fevereiro,6,4,8,8,6.5,Bom
25,Vítor Rocha,Auditor,2022,setembro,9,7,7,7,7.5,Bom
26,Inês Mendes,Designer,2023,janeiro,9,7,6,7,7.25,Bom
27,Luís Albazine,Assistente Financeiro,2021,junho,9,7,7,8,7.75,Bom
28,Rui Cruz,Auditor,2021,agosto,8,7,5,8,7.0,Bom
29,Pedro Ferreira,Diretor de Departamento,2021,maio,9,7,8,8,8.0,Muito Bom
30,Cláudia Mendes,Assistente Administrativo,2021,dezembro,6,7,9,7,7.25,Bom
31,Mariana Morais,Gestor de Projetos,2023,março,7,7,6,8,7.0,Bom
32,Pedro Santos,Coordenador,2021,maio,9,6,9,8,8.0,Muito Bom
33,Francisco Fernandes,Marketing,2021,janeiro,9,7,8,8,8.0,Muito Bom
34,Rui Chicava,Analista de Dados,2021,janeiro,9,7,9,7,8.0,Muito Bom
35,Vítor Pinto,Supervisor,2024,outubro,9,7,3,7,6.5,Bom
36,Diana Manave,Auditor,2023,julho,9,7,7,8,7.75,Bom
37,Lúcia Manave,Recursos Humanos,2023,agosto,9,7,9,8,8.25,Muito Bom
38,António Lopes,Analista de Dados,2021,fevereiro,7,6,9,8,7.5,Bom
39,João Barros,Designer,2024,outubro,7,7,6,8,7.0,Bom
40,Beatriz Moreira,Gestor de Projetos,2021,junho,6,7,8,8,7.25,Bom
41,Eduarda Costa,Designer,2021,janeiro,9,7,5,8,7.25,Bom
42,Mariana Mendes,Recursos Humanos,2022,fevereiro,8,5,8,8,7.25,Bom
43,António Lopes,Recursos Humanos,2023,junho,7,7,8,8,7.5,Bom
44,Alexandre Cardoso,Engenheiro,2021,agosto,9,6,8,8,7.75,Bom
45,Teresa Gomes,Técnico de Laboratório,2023,julho,8,7,7,8,7.5,Bom
46,Marta Santos,Secretariado,2022,setembro,9,7,8,6,7.5,Bom
47,Fernando Barros,Analista de Dados,2024,junho,7,7,7,8,7.25,Bom
48,Ricardo Vieira,Supervisor,2024,março,9,7,7,8,7.75,Bom
49,Manuel Silva,Secretariado,2024,outubro,9,7,9,7,8.0,Muito Bom
